"DT_VENDA","CD_PRODUTO","DS_PRODUTO","UND_MED","QTD_SAIDA"
03/08/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",293
13/08/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",190
05/08/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",210
04/08/23 00:00:00,"367","PAO FRANCES","KG",363
22/08/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",164
08/08/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",57
05/08/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",749
03/08/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",256
10/08/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",60
06/08/23 00:00:00,"30812","OVO GAL LOCKS BJ C/30 PLAST","UN",215
09/08/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",10
24/08/23 00:00:00,"52565","CR DENTAL SORRISO 70G TRIP ACAO LIMP COMP","UN",54
14/01/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",96
04/01/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",180
08/11/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",76
29/11/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",228
22/11/23 00:00:00,"225","COXA/SOBREC C/DORSO PCTAO KG","KG",174
11/02/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",113
16/02/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",9849
27/02/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",2542
21/02/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",80
17/02/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",17
01/02/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",64
28/02/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",174
20/10/23 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",56
05/10/23 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",34
08/10/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",115
08/06/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",170
23/06/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",305
05/06/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",139
09/06/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",81
06/06/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",308
19/06/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",265
27/09/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",76
13/09/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",112
20/09/23 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",60
24/09/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",35
23/09/23 00:00:00,"27090","REFRIG COCA COLA PET 2L","UN",272
29/09/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",127
19/09/23 00:00:00,"179","ACEM BOVINO POSTA KG","KG",71
10/11/23 00:00:00,"28627","OLEO SOJA COAMO PET 900ML","UN",464
29/04/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",44
18/04/24 00:00:00,"28151","CAFE PO CABOCLO PCT 500G TRAD","UN",32
23/04/24 00:00:00,"53056","SABON PALMOLIVE 85G HIDR INTENSIVA","UN",11
17/04/24 00:00:00,"16871","DETERG LIMPOL NEUTRO FR 500ML","UN",36
16/10/23 00:00:00,"367","PAO FRANCES","KG",259
